index,subject
0,55
1,22
2,12
3,2
4,14
5,88
6,1027
7,89
8,105
9,1024
10,34
11,49
12,136
13,1005
14,39
15,119
16,1030
17,1002
18,1001
19,83
20,75
21,127
22,6
23,1025
24,1035
25,115
26,3
27,122
28,69
29,114
30,137
31,67
32,121
33,26
34,1033
35,7
36,51
37,46
38,1016
39,124
40,100
41,84
42,1014
43,92
44,1004
45,63
46,1006
47,29
48,86
49,73
50,62
51,108
52,65
53,68
54,1013
55,125
56,4
57,72
58,16
59,15
60,1034
61,106
62,21
63,1021
64,53
65,43
66,19
67,50
68,1015
69,1029
70,95
71,133
72,134
73,61
74,126
75,79
76,31
77,17
78,1003
79,1031
80,1011
81,18
82,1017
83,24
84,107
85,91
86,54
87,1018
88,70
89,52
90,135
91,1009
92,1026
93,1023
94,20
95,38
96,10
97,45
98,97
99,117
100,103
101,1022
102,104
103,102
104,78
105,28
106,66
107,113
108,11
109,1010
110,118
111,90
112,116
113,131
114,36
115,40
116,60
117,9
118,130
119,94
120,64
121,1008
122,129
123,58
124,87
125,76
126,59
127,128
128,37
129,48
130,57
131,112
132,1028
133,1
134,56
135,41
136,109
137,120
138,123
139,1019
140,111
141,71
